Title,Description,ImageUrl,Link,Date,Type
The 12th United Nations Global Compact–Accenture CEO Study,"The United Nations Global Compact–Accenture CEO Study offers a candid look at perspectives of more than 2,600 CEOs across 128 countries and 18 industries at the urgent opportunities and challenges for leaders to contribute to the 2023 Agenda and achieving the Sustainable Development Goals.",//ungc-production.s3.us-west-2.amazonaws.com/resources/images/6103/show@2x/12th_United_Nations_Global_Compact-Accenture_CEO_Study.png?1673459818,/library/6103,2023-01-01,Report
Business Dilemmas Forum: Navigating Expectations for Societal Leadership,"Fifty global executives convened during the UN General Assembly’s week of high-level debates, to candidly share corporate approaches to converging global crises. This business-to-business discussion focused on complex dilemmas related to strengthening peace, justice, and strong institutions (Sustainable Development Goal 16). Discussion centered around three questions: 1. How are you managing increased pressure to take a stand on political and social issues? 2. How are you weighing the cost of doing something, versus the cost of doing nothing? 3. How can lobbying be part of an accountability framework regarding corporate actions in these areas? This document summarizes high-level take-aways.",//ungc-production.s3.us-west-2.amazonaws.com/resources/images/6105/show@2x/cover-245.PNG?1677179960,/library/6105,2023-01-01,Meeting Report
Communication on Progress Questionnaire,"The CoP questionnaire focuses on five disclosure areas (governance, human rights, labour, environment and anti-corruption) and is designed to help participating companies monitor performance across the Ten Principles. There will be no scoring or ranking associated with the CoP questionnaire. Rather, the objective is to create transparency and enable progress.",//ungc-production.s3.us-west-2.amazonaws.com/resources/images/6106/show@2x/image.png?1677260926,/library/6106,2023-01-01,Policy Document
Communication on Progress Guidebook,"A helpful resource providing question rationale and guidance, linked reporting references, and a glossary of terms to assist in the completion of the enhanced CoP questionnaire.",//ungc-production.s3.us-west-2.amazonaws.com/resources/images/6107/show@2x/image%282%29.png?1677870915,/library/6107,2023-01-01,Report
"CORPORATE CLIMATE TARGET SETTING, ACTION AND GLOBAL COLLABORATION TOWARDS A NET-ZERO FUTURE - ACCELERATE 2030 AGENDA FOR SUSTAINABLE DEVELOPMENT THROUGH GLOBAL DEVELOPMENT INITIATIVE","The world is calling for immediate and collective action towards a universal climate goal, outlined in the Paris Agreement. Working with top talents from around the world, the United Nations is taking urgent actions to standardize guidelines for achieving Net-Zero, creating a platform of global collaboration. China takes the lead in fostering a conducive environment for global collaboration through proposing the Global Development Initiative (GDI), with a series of initiatives surrounding eight key areas including climate actions. A just transition to a Net-Zero future requires bold actions from all parties, and corporates are an indispensable force. The key to success is knowing “where to go” — setting climate targets, and “how to get there” — implementing Net-Zero initiatives.",//ungc-production.s3.us-west-2.amazonaws.com/resources/images/6140/show@2x/corporatecover2.PNG?1680557581,/library/6140,2023-01-01,Policy Document
CoP Policy,Policy on Communication on Progress,//ungc-production.s3.us-west-2.amazonaws.com/resources/images/6141/show@2x/image%283%29.png?1680117810,/library/6141,2023-01-01,Policy Document
CEO Statement of Continued Support,Policy Document,//ungc-production.s3.us-west-2.amazonaws.com/resources/images/6142/show@2x/ceostatement.PNG?1680205870,/library/6142,2023-01-01,Policy Document
Just Transition and Renewable Energy: A Business Brief,"To address the increasing risk of catastrophic climate change, provide sustainable energy to the 733 million people who currently lack access to electricity, and to power sustainable development, there is an urgent need to transition to renewable energy. Business has a critical role to play in ensuring this transition is just and leaves no one behind. This business brief outlines the context of emerging national just transition policies, provides an advocacy agenda for businesses to influence policies responsibly and includes examples of company best practices and success factors. Download today to learn the 10 recommendations for businesses to advance the just transition within and beyond their companies in support of the goals of the Paris Agreement and the 2030 Agenda. The business brief is available in English and Spanish.",//ungc-production.s3.us-west-2.amazonaws.com/resources/images/6143/show@2x/2023_Just_Transition_-_Brief_4.jpg?1684272172,/library/6143,2023-01-01,Report
CFO ACTION ON CORPORATE INVESTMENT AND FINANCE FOR SUSTAINABLE DEVELOPMENT,"The purpose of this position paper is to establish the potential of Global Compact companies all over the world to invest at scale in key private sector solutions for the SDGs, especially in the clean energy transition and economic and social development. It also provides intellectual support for a broad Global Compact call to action to all its companies at the occasion of the SDG stocktake this year, to establish ambitious targets in five key areas including SDG-aligned corporate investments and finance with the SDGs (other areas include living wage, climate change, gender equality, and water stewardship).",//ungc-production.s3.us-west-2.amazonaws.com/resources/images/6144/show@2x/cfo_cover.PNG?1686077395,/library/6144,2023-01-01,Report
Just Transition in Supply Chains: A Business Brief,"Companies of all sizes may be exposed to multiple climate change-related risks through their supply chains. By placing just transition at the centre of their risk management strategies, your company can better manage converging risks that may impact your business. This brief outlines the policies and practices companies can implement to manage the environmental and social impacts of their supply chain, discusses multilateral frameworks, and offers recommendations for businesses to improve their sustainability and resilience, including real-world examples.",//ungc-production.s3.us-west-2.amazonaws.com/resources/images/6145/show@2x/Just_Transition_in_Supply_Chains_Business_Brief_Cover.jpg?1691000439,/library/6145,2023-01-01,Report
Forward Faster Action Guides,"The Forward Faster action guides provide companies that have committed or are considering committing to the Forward Faster initiative, with additional, target-specific details on key definitions, examples of actions and key performance indicators (KPIs), including interim targets, resources and policy advocacy that companies can utilize as they define a strategy to meet the target(s) by 2030.",//ungc-production.s3.us-west-2.amazonaws.com/resources/images/6146/show@2x/foward_faster.PNG?1689709788,/library/6146,2023-01-01,Report
CEO Water Mandate: 2022 Impact Report,"The inaugural CEO Water Mandate 2022 Impact Report encapsulates the collective efforts of 234 endorsing companies and partners in addressing the water crisis. It maps key strides, from advancing new water stewardship practices and rolling out critical guides, to launching the Water Resilience Coalition Brazil Chapter and the Corporate Water Benchmark Tool at COP27. Their presence at high-visibility events, such as the World Economic Forum Annual Meeting, Stockholm World Water Week and COP27, further highlights our convening power. Explore their 2022 journey as we continue mobilizing business leaders towards a water-resilient world.",//ungc-production.s3.us-west-2.amazonaws.com/resources/images/6147/show@2x/accelerating_cover.PNG?1694019820,/library/6147,2023-01-01,Report
