Image URL,Image Title,Country,Link Text,Link URL,Title,Sub Title,Content Text
https://sseinitiative.org/wp-content/uploads/2020/01/ASEAN-wpcf_32x32.png,ASEAN,ASEAN,ASEAN Green Bond Label (2017),https://sseinitiative.org/securities-regulator/asean-green-bond-label/,ASEAN,ASEAN Green Bond Label (2017),"About the SSE Regulator Database ➞
ASEAN
ASEAN Green Bond Label (2017)
The ASEAN Capital Markets Forum (ACMF), a forum of capital market regulators from the ASEAN region, released the ASEAN Green Bond Standards in 2017. These standards, which are based on the International Capital Market Association (ICMA) Green Bond Principles, provide guidance on the implementation of the ICMA principles and seek to promote transparency and consistency in the ASEAN green bond market. The ASEAN Green Bond Label is to be used only for issuers and projects in the region, and the standards specifically exclude fossil fuel related projects.

Similar Posts
Croatia
Guidelines for the Preparation and Disclosure of ESG Relevant Issuer Information

The Guidelines for the Preparation and Disclosure of ESG Relevant Issuer Information are intended for issuers on the regulated market of …

Brazil
Sustainable CVM: The impact of your investments (2020)

The Securities and Exchange Commission (CVM) launched the “Sustainable CVM Series”, a new series of guidance documents on sustainable finance. In …"
https://sseinitiative.org/wp-content/uploads/2020/01/ASEAN-wpcf_32x32.png,ASEAN,ASEAN,ASEAN Green Bond Standards Roundtable (2018),https://sseinitiative.org/securities-regulator/asean-green-bond-standards-roundtable-2018/,ASEAN,ASEAN Green Bond Standards Roundtable (2018),"About the SSE Regulator Database ➞
ASEAN
ASEAN Green Bond Standards Roundtable (2018)
The ASEAN Capital Markets Forum (ACMF), as an Observer to the International Capital Market Association Green and Social Bond Principles and Sustainability Bond Guidelines, promotes sustainable finance in the ASEAN region. The inaugural ASEAN Green Bond Standards Roundtable was held in Vietnam in March 2018, bringing together banks, securities firms and fund management companies. Similar Roundtables will be held throughout the region to raise awareness and to encourage greater adoption of the ASEAN Green Bond Standards. In its efforts to profile the ASEAN Green Bond Standards, ACMF has participated in various international and regional conferences and makes a list of ASEAN Green Bond issuers available on its website.

Similar Posts
Croatia
Guidelines for the Preparation and Disclosure of ESG Relevant Issuer Information

The Guidelines for the Preparation and Disclosure of ESG Relevant Issuer Information are intended for issuers on the regulated market of …

Brazil
Sustainable CVM: The impact of your investments (2020)

The Securities and Exchange Commission (CVM) launched the “Sustainable CVM Series”, a new series of guidance documents on sustainable finance. In …"
https://sseinitiative.org/wp-content/uploads/2019/07/australia-wpcf_32x32.png,australia,Australia,Guide on Investment Governance (2013),https://sseinitiative.org/securities-regulator/guide-on-investment-governance-2013/,Australia,Guide on Investment Governance (2013),"About the SSE Regulator Database ➞
Australia
Guide on Investment Governance (2013)
The Australian Prudential Regulation Authority’s Guide on Investment Governance, SPG 530, allows super funds to offer ‘ethical’ investment options (characterised by an added focus on ESG considerations, or the integration of such considerations into investment strategy and supporting analysis). Such options should be in the best interests of beneficiaries, and should satisfy legal requirements on liquidity, valuation and other relevant investment factors.

Similar Posts
Croatia
Guidelines for the Preparation and Disclosure of ESG Relevant Issuer Information

The Guidelines for the Preparation and Disclosure of ESG Relevant Issuer Information are intended for issuers on the regulated market of …

Brazil
Sustainable CVM: The impact of your investments (2020)

The Securities and Exchange Commission (CVM) launched the “Sustainable CVM Series”, a new series of guidance documents on sustainable finance. In …"
https://sseinitiative.org/wp-content/uploads/2019/08/brazil-wpcf_32x32.png,brazil,Brazil,Code of Best Practices of Corporate Governance (2016),https://sseinitiative.org/securities-regulator/code-of-best-practices-of-corporate-governance/,Brazil,Code of Best Practices of Corporate Governance (2016),"About the SSE Regulator Database ➞
Brazil
Code of Best Practices of Corporate Governance (2016)
Principle 2.1 of the Code of Best Practices of Corporate Governance, issued by Instituto Brasileiro de Governança Corporativa (IBGC, the Brazilian Institute of Corporate Governance), states that company boards must pay attention to the company’s social and environmental impacts. Specifically, when developing business strategy, boards should pay attention to these issues and how they might affect the company’s sustainability and ability to create value in the long term. In addition, assessments of the performance of the Chairperson and the board should be based on financial and non-financial targets (including environmental, social and governance aspects).

Similar Posts
Croatia
Guidelines for the Preparation and Disclosure of ESG Relevant Issuer Information

The Guidelines for the Preparation and Disclosure of ESG Relevant Issuer Information are intended for issuers on the regulated market of …

Brazil
Sustainable CVM: The impact of your investments (2020)

The Securities and Exchange Commission (CVM) launched the “Sustainable CVM Series”, a new series of guidance documents on sustainable finance. In …"
https://sseinitiative.org/wp-content/uploads/2019/08/brazil-wpcf_32x32.png,brazil,Brazil,Disclosure reference form (2009),https://sseinitiative.org/securities-regulator/disclosure-reference-form-2009/,Brazil,Disclosure reference form (2009),"About the SSE Regulator Database ➞
Brazil
Disclosure reference form (2009)
Under Rule CVM 48061 issued by the Brazilian Securities and Exchange Commission (CVM), Brazilian companies must submit a Reference Form to CVM. Amongst other information, companies are required to provide information in these forms on relevant socio-environmental risk factors, on their environmental policy, on the costs of compliance with environmental regulation, and on their adherence to the Code of Best Practices of Corporate Governance issued by the Brazilian Institute of Corporate Governance (IBGC). This form must be updated annually. Certain companies are also required to make their Reference Form available on their company websites.

Similar Posts
Croatia
Guidelines for the Preparation and Disclosure of ESG Relevant Issuer Information

The Guidelines for the Preparation and Disclosure of ESG Relevant Issuer Information are intended for issuers on the regulated market of …

Brazil
Sustainable CVM: The impact of your investments (2020)

The Securities and Exchange Commission (CVM) launched the “Sustainable CVM Series”, a new series of guidance documents on sustainable finance. In …"
https://sseinitiative.org/wp-content/uploads/2019/08/brazil-wpcf_32x32.png,brazil,Brazil,Laboratory of Financial Innovation (2017),https://sseinitiative.org/securities-regulator/laboratory-of-financial-innovation-2017/,Brazil,Laboratory of Financial Innovation (2017),"About the SSE Regulator Database ➞
Brazil
Laboratory of Financial Innovation (2017)
In Brazil in 2017, the Laboratory of Financial Innovation (LAB) was established to bring public and private entities together to create and develop financial instruments and solutions focused on sustainable development. The initiative is led by the Inter-American Development Bank in partnership with the Brazilian Securities and Exchange Commission (CVM) and the Brazilian Development Association. The LAB has organised its working groups around four main themes: green bonds; green finance; financial instruments for social impact; and fintech.

Similar Posts
Croatia
Guidelines for the Preparation and Disclosure of ESG Relevant Issuer Information

The Guidelines for the Preparation and Disclosure of ESG Relevant Issuer Information are intended for issuers on the regulated market of …

Brazil
Sustainable CVM: The impact of your investments (2020)

The Securities and Exchange Commission (CVM) launched the “Sustainable CVM Series”, a new series of guidance documents on sustainable finance. In …"
https://sseinitiative.org/wp-content/uploads/2019/08/brazil-wpcf_32x32.png,brazil,Brazil,Pension fund regulation (2018),https://sseinitiative.org/securities-regulator/pension-fund-regulation/,Brazil,Pension fund regulation (2018),"About the SSE Regulator Database ➞
Brazil
Pension fund regulation (2018)
In 2018, Banco Central do Brasil, Brazil’s central bank, introduced new regulations requiring local pension funds to consider ESG factors whenever possible, an evolution of the previous rule, introduced in 2009, that required their investment policies to mention if principles of environmental and social responsibility had been considered.

Similar Posts
Croatia
Guidelines for the Preparation and Disclosure of ESG Relevant Issuer Information

The Guidelines for the Preparation and Disclosure of ESG Relevant Issuer Information are intended for issuers on the regulated market of …

Brazil
Sustainable CVM: The impact of your investments (2020)

The Securities and Exchange Commission (CVM) launched the “Sustainable CVM Series”, a new series of guidance documents on sustainable finance. In …"
https://sseinitiative.org/wp-content/uploads/2019/08/brazil-wpcf_32x32.png,brazil,Brazil,Sustainability Guide (2017),https://sseinitiative.org/securities-regulator/sustainability-guide-2017/,Brazil,Sustainability Guide (2017),"About the SSE Regulator Database ➞
Brazil
Sustainability Guide (2017)
In October 2017, the Brazilian stock exchange B3, with the support of the Brazilian Association of Financial and Capital Markets Entities (ANBIMA), the Central Bank of Brazil (Bacen) and the Brazilian Securities and Exchange Commission, among others, launched the Sustainability Guide: Business Opportunity in the Intermediation Sector. It aims to foster a debate on sustainability in the Brazilian intermediation sector and to encourage brokers, dealers and banks that operate in the markets managed by the stock exchange to integrate ESG issues into their processes and products, and into their relationships with their customers.

Similar Posts
Croatia
Guidelines for the Preparation and Disclosure of ESG Relevant Issuer Information

The Guidelines for the Preparation and Disclosure of ESG Relevant Issuer Information are intended for issuers on the regulated market of …

Brazil
Sustainable CVM: The impact of your investments (2020)

The Securities and Exchange Commission (CVM) launched the “Sustainable CVM Series”, a new series of guidance documents on sustainable finance. In …"
https://sseinitiative.org/wp-content/uploads/2019/08/brazil-wpcf_32x32.png,brazil,Brazil,Sustainable CVM: The impact of your investments (2020),https://sseinitiative.org/securities-regulator/sustainable-cvm-the-impact-of-your-investments/,Brazil,Sustainable CVM: The impact of your investments (2020),"About the SSE Regulator Database ➞
Brazil
Sustainable CVM: The impact of your investments (2020)
The Securities and Exchange Commission (CVM) launched the “Sustainable CVM Series”, a new series of guidance documents on sustainable finance. In this first volume, the impact of your investments, the Regulator presents a guide focused on the inclusion of ESG (Environmental, Social and Governance) issues with respect to citizen’s investment decision making.

Similar Posts
Croatia
Guidelines for the Preparation and Disclosure of ESG Relevant Issuer Information

The Guidelines for the Preparation and Disclosure of ESG Relevant Issuer Information are intended for issuers on the regulated market of …

United Kingdom of Great Britain and Northern Ireland
Analysis of regulatory roadblocks (2018)

The UK Financial Conduct Authority (FCA) has analysed whether there are any barriers in its rules that could hold back the …"
https://sseinitiative.org/wp-content/uploads/2019/08/canada-wpcf_32x32.png,canada,Canada,Review of issuers’ disclosures of the risks and financial impacts (2018),https://sseinitiative.org/securities-regulator/review-of-issuers-disclosures-of-the-risks-and-financial-impacts-2018/,Canada,Review of issuers’ disclosures of the risks and financial impacts (2018),"About the SSE Regulator Database ➞
Canada
Review of issuers’ disclosures of the risks and financial impacts (2018)
In 2018, the Canadian Securities Administrators (CSA) released the findings of a review of issuers’ disclosures of the risks and financial impacts associated with climate change. Based on this review, it expects to develop guidance and educational initiatives for issuers on the potential financial impacts of climate change, to consider new disclosure requirements regarding corporate governance and climate change, and to continue to monitor issuers’ disclosures and the evolution of reporting frameworks and best practices.

Similar Posts
Croatia
Guidelines for the Preparation and Disclosure of ESG Relevant Issuer Information

The Guidelines for the Preparation and Disclosure of ESG Relevant Issuer Information are intended for issuers on the regulated market of …

Brazil
Sustainable CVM: The impact of your investments (2020)

The Securities and Exchange Commission (CVM) launched the “Sustainable CVM Series”, a new series of guidance documents on sustainable finance. In …"
