Market,StockExchange,StockExchangeLink,Year,ESGGuidance,GRI,SASB,TCFD,IIRC,CDSB,CDP,Name,Country,Number of listed companies,Domestic market capitalization,SSE Partner Exchange,Has annual sustainability report,ESG reporting required as a listing rule,Has written guidance on ESG reporting,Offers ESG related training,Market covered by sustainability-related index,Has sustainability bond listing segment,Has SME listing platform,Women on boards mandatory minimum rule,Additional information,Organizational model of stock exchange,Regulatory bodies,Regulatory model,About the stock exchange,PdfPath_1,PdfPath_2,PdfPath_3,PdfPath_4,PdfPath_5,PdfPath_6,PdfPath_7,PdfPath_8
Australia,Australian Securities Exchange,https://sseinitiative.org/stock-exchange/asx/,2015,ESG Reporting Guide for Australian Companies,⬤,⬤,,⬤,,⬤,Australian Securities Exchange (ASX),Australia,2147,"2,537,664 million US$",Yes,"Yes



The sustainability report is included in the annual report since 2020

2020 Annual report
2021 Annual report","No


However recommendation 7.4 of the ASX Corporate Governance Council’s Principles and Recommendations states that “a listed entity should disclose whether it has any material exposure to economic, environmental and social sustainability risks and, if it does, how it manages or intends to manage those risks”.
Listing Rule 4.10.3 requires all listed entities to publish annually a corporate governance statement that discloses the extent to which the entity has followed the recommendations set by the ASX Corporate Governance Council during the reporting period. Listed entities that do not follow a particular recommendation, are required to disclose that fact and provide the reasons why (“if not, why not” reporting).","Yes


The commentary to Recommendation 7.4 of the ASX Corporate Governance Council’s Principles and Recommendations refers companies to existing guidance such as:
2015 ESG Report Guide for Australian Companies issued by the Financial Services Council and the Australian Council of Superannuation Investors
UN Global Compact ten principles
OECD’s Guidelines for Multinational Enterprises
ASX also refers companies to the various publications of the:
Global Reporting Initiative,
Climate Disclosure Standards Board
International Integrated Reporting Council.","Yes



In 2022, ASX provided training on Climate-related Financial Disclosures (TCFD recommendations) in collaboration with the SSE, CDP and IFC. (source)",No,No,"Yes


NSX, since 2005",No,"ASX lists a range of responsible investing and ethically managed ETFs and managed funds.
ASX publishes an environment, social and governance section in its Annual Report 2016 (pages 14 to 16).
ASX also has a corporate social responsibility section on its website.","Listed, shareholder-owned for-profit public company; demutualized and self-listed in 1998.
Vertically integrated exchange offering trading in both equity and derivatives markets as well as the clearing and settlement for these markets.","Australian Securities and Investments Commission (ASIC)
Reserve Bank of Australia (RBA)","ASIC supervises the real-time trading across all domestically licensed equities and futures markets. It is also responsible for the supervision of operators of financial markets and clearing and settlement facility (CS facilities) providers like ASX. ASIC also supervises ASX’s compliance as a listed public company on its own market.
RBA has formal responsibility for ensuring that CS facilities conduct their affairs in a way that is consistent with financial system stability.
ASX Compliance, a wholly owned subsidiary of ASX Limited, is responsible for monitoring and enforcing compliance by listed entities with the ASX Listing Rules.
The ASX Corporate Governance Council publishes principles and recommendations that set the standards of corporate governance for Australia’s listed entities.","Location: Sydney, Australia

The ASX Group’s origins as a national exchange go back to 1987. The Australian Stock Exchange Limited was formed in 1987 after the Australian Parliament drafted legislation that enabled the amalgamation of six independent state-based stock exchanges. Each of those exchanges brought with it a history of share trading dating back to the 19th century. In 2006 The Australian Stock Exchange merged with the Sydney Futures Exchange and originally operated under the name Australian Securities Exchange. Later, however, ASX launched a new group structure to better position it in the contemporary financial market environment. From 1 August 2010, the Australian Securities Exchange has been known as the ASX Group. Source
ASX is a multi-asset class, vertically integrated exchange group whose activities span equity, derivative and OTC markets. It offers primary and secondary market services, including the raising, allocation and hedging of capital flows, trading, central counterparty risk transfer, and securities settlement. See ASX for more details.
Ownership: Shareholders of more than 10% shares includes HSBC Custody Nominees (Australia), BNP Paribas Nominees Pty Ltd. and JP Morgan Nominees Australia Ltd.",,,,,,,,
Bahrain,Bahrain Bourse,https://sseinitiative.org/stock-exchange/bhb/,2020,ESG Reporting Guide,⬤,⬤,⬤,⬤,⬤,⬤,Bahrain Bourse (BHB),Bahrain,43,"30,200 million US$",Yes,"Yes


Bahrain Bourse Sustainability Report 2020
Bahrain Bourse Sustainability Report 2019",No,"Yes



In June 2020, Bahrain Bourse launched its voluntary environmental, social and governance (ESG) reporting guideline for listed companies and other stakeholders. The Guidance was updated in December 2022.

ESG Reporting Guide","Yes



The Bahrain Bourse provides ESG related training on an ad-hoc basis/based on requirements:

Workshop on Sustainability and IR Digital Solutions 
In 2022, the Bahrain Bourse provided training on Climate-related Financial Disclosures (TCFD recommendations) in collaboration with the SSE, CDP and IFC. (source)",No,No,"Yes


Bahrain Investment Market","No



Current High Level Control module requires listed companies to disclose on female representations on Board. The rule also ‘encourages’ female representation, but not mandatory at this stage.","https://bahrainbourse.com/sustainability 

More information is available under the “Sustainability’ tab in the Header of the Main page.",Bahrain Bourse (BHB) was established as a shareholding company according to Law No. 60 for the year 2010 to replace Bahrain Stock Exchange (BSE) that was established in 1987.,Central Bank of Bahrain,Self Regulated Organization (SRO),"Bahrain Bourse Company B S C C is a self-regulated multi-asset marketplace. Bahrain Bourse aims to offer to its investors, issuers, and intermediaries a comprehensive suite of exchange-related facilities including offering listing, trading, settlement, and depositary services for various financial instruments.",,,,,,,,
Bangladesh,Dhaka Stock Exchange,https://sseinitiative.org/stock-exchange/dse_bangladesh/,2019,Guidance on Sustainability Reporting,⬤,,,,,,Dhaka Stock Exchange,Bangladesh,348,"57,006.73 million US$",Yes,"No


The annual report does include a corporate governance section.","No


Compliance with Corporate Governance guidelines is a requirement for listing.","Yes


Guidance on Sustainability Reporting for Listed Companies in Bangladesh
The Guidance was developed using the GRI Standard","Yes


20 May 2018 and 26 July 2018: Workshop on Corporate Transparency & Sustainability Reporting for listed companies.
26 July 2018: Workshop on Corporate Transparency & Sustainability Reporting- Policies & Practice for listed companies and capital market regulators.",No,No,No,No,,"Public Limited Company, demutualized in 2013.",Bangladesh Securities and Exchange Commission (BSEC),"The Dhaka Stock Exchange (DSE) is registered as a Public Limited Company and its activities are regulated by its Articles of Association, rules & regulations and by-laws along with the rules, order and notifications of the Bangladesh Securities and Exchange Commission (BSEC).  (Source).","Originally incorporated in 1954. Headquarters in Dhaka, Bangladesh. More on company here.
Public Company Limited by Share. Not listed company (Presently 266 shareholders).",,,,,,,,
Belgium,Euronext Brussels,https://sseinitiative.org/stock-exchange/euronext-brussels/,2022*,ESG Reporting Guide - Target 1.5°C,⬤,⬤,⬤,⬤,⬤,⬤,Euronext Brussels,Belgium,206,"363,957.57 million US$",Yes,"Yes


There is a chapter in the annual report dedicated to sustainability activities, find all reports here.","Yes


The European directive on non-financial information reporting (NFRD) has been implemented into the Belgian legal environment.","Yes


ESG Reporting Guide – Target 1.5°C","Yes


Through the Euronext Academy, see more details here.","Yes


See the list of ESG indices on the Euronext website here.","Yes


Euronext ESG Bonds is a community of ESG bond issuers where green, sustainability, social, blue and sustainability-linked bonds listed on all Euronext locations are consolidated onto one highly visible area. Details of the securities here.
As of January 2021, Euronext is home to 420 ESG bonds from 150 issuers across the globe including sovereigns, development banks, municipals, government-backed entities, financial institutions, corporates, pure play issuers.","Yes


Euronext Growth, Euronext Access, Euronext Access+. More information here.",No,"Euronext supports climate friendly innovations by financing Cleantech SME’s benefitting from major Euronext initiatives:

TechShare: 27 Cleantech have followed the program on how to leverage capital markets
Tech40 Index: 10% of this increasingly important index is made up of Cleantech SME’s
Morningstar: the program fully covers the scope of Cleantech SME issuers (55)",Listed company for profit; demutualized in 2000,"Belgian National Bank (BNB)
Belgian Financial Services and Markets Authority (FSMA)
Belgian Ministry of Finance
European Union (ESMA)","Government (Statutory) Model

The Markets in Financial Instruments Directive (MiFID) classifies Euronext’s European cash markets as a regulated market. As such, the real-time monitoring performed by Euronext’s cash market operations and technical support is formally enforced, and trading rules and procedures are approved by five regulators. This regulatory and organizational system gives Euronext the power to efficiently manage crisis situations and extraordinary circumstances. Some of the markets organized by Euronext are exchange regulated, which means they are subject to a body of rules laid down by the market operator, Euronext. They are not regulated markets as defined by The Markets in Financial Instruments Directive (MiFID). These structured, exchange regulated markets offer simplified access to financial markets and streamlined listing requirements for companies from every sector of the economy, while ensuring compliance with rules on investor disclosure and the control of financial information. (Source)","Location of the listed holding: Brussels, Belgium

Euronext Brussels is governed by the Belgian Law of 21 November 2017 on the market infrastructures for financial instruments and transposing Directive 2014/65/EU. Accordingly to the Law, Euronext Brussels is responsible for matters such as the organisation of the markets and the admission, suspension and exclusion of members and has been appointed by law as the “competent authority” for listing matters within the meaning of EU Directive 2001/34/EC dated 28 May 2001. Euronext Brussels is subject to the supervision of the Financial Services and Markets Authority (FSMA), an independent public authority which strives to ensure the honest and equitable treatment of financial consumers and the integrity of the financial markets. Euronext is the leading pan-European exchange in the Eurozone, spanning Belgium, France, Ireland, Norway, the Netherlands, Portugal, the UK and Ireland. Created in 2000, it unites markets which date back to the start of the 17th century. It is the primary exchange in the Euro zone with nearly 1,500 listed issuers worth more than €4.5 trillion in market capitalization as of end May 2019, an unmatched blue chip franchise consisting of 20+ issuers in the Morningstar® Eurozone 50 Index℠ and a strong diverse domestic and international client base

100% ownership by Euronext NV",,,,,,,,
Botswana,Botswana Stock Exchange,https://sseinitiative.org/stock-exchange/bse/,2018,Guidance for Listed Companies on Reporting ESG Information to Investors,⬤,⬤,,⬤,,,Botswana Stock Exchange,Botswana,30,"3,114.50 million US$",Yes,No,No,"Yes


Guidance for listed companies on reporting ESG information to investors","Yes


In 2022, BSE in partnership with CoSSE (Committee of SADC Stock Exchanges) held a virtual workshop on Green Finance
24 June 2019 BSE hosted a responsible investing and ESG workshop.",No,No,"Yes


Tshipidi SME Board, since 2017",No,,"BSE is a statutory body created by an Act of Parliament of 1994. It is governed by the BSE Act pending the commencement of the Securities Act which will replace the BSE Act. Pursuant to the commencement of the BSE Transition Act in December 2015, the BSE has commenced the process of demutualization.","Non-Bank Financial Institutions Regulatory Authority (NBFIRA).
Bank of Botswana.
Companies & Intellectual Property Authority (CIPA).","BSE is regulated by NBFIRA. Although the BSE promulgates the Listing Requirements and the Members Rules, NBFIRA gives approval of the Rules and Regulations.","Location: Gaborone, Botswana

The Botswana Stock Exchange is Botswana’s national stock exchange. It has the responsibility of operating and regulating the equities and fixed interest securities market. Formally established in 1989, the BSE continues to be pivotal to Botswana’s financial system, and in particular the capital market, as an avenue on which the government, quasi- government and the private sector can raise debt and equity capital. The BSE plays host to the most preeminent companies doing business in Botswana. These companies represent a spectrum of industries and commerce, from Banking and financial services to Wholesaling and Retailing, Tourism and Information Technology.
To date, the BSE is one of Africa’s best performing stock exchanges, averaging a 24% aggregate return in the past decade. This has allowed the BSE to be the third largest stock exchange in terms of market capitalization in Southern Africa.",,,,,,,,
Brazil,B3,https://sseinitiative.org/stock-exchange/b3/,2016*,"Novo Valor Corporate Sustainability: How to begin, who to involve, and what to prioritize",⬤,,,⬤,,⬤,B3,Brazil,463,"935,583 million US$",Yes,Yes,"No


There are no listing rules related to ESG reporting at B3. However, there’s a specific item incorporated in the Reference Form by the Regulator, CVM (Securities and Exchange Comission of Brazil) – Item 7.8 “Social and Environmental Policies and Transparency” of CVM Instruction 480.
B3 encourages transparency and recommends that listed companies report their ESG practices and explain if they have published Annual Report that integrates sustainability indicators through item 7.8 of the Reference Form.","Yes


Sustainability Guidance for Companies (second edition 2016; first edition 2011).
Sustainability Guidance and Business Opportunities in the Intermediation Industry","Yes


B3 offers ESG training, workshops, events, and opportunities to exchange of experiences among listed companies and investors to foster this agenda in the Brazilian Capital Market. The initiative is lead by the Client’s Relationship Department in partnership with the Sustainability Area.
Integration of ESG issues to education through the B3 Education, a platform in which the Company acts as curator of knowledge already developed by the market, organizing content produced by partners, clients and academy, together with authored content, in the form of knowledge trails. Launched in 2020, it had 71 courses at the end of the year of 2021, more than 400 contents and 178,000 registered users, in addition to 1,7 million of registered accesses.

In 2022, B3 provided training on Climate-related Financial Disclosures (TCFD recommendations) in collaboration with the SSE, CDP and IFC. (source)","Yes


Corporate Sustainability Index (ISE B3)
Carbon Efficient Index (ICO2 B3)
Family of Corporate Governance Indices
S&P/B3 Brazil ESG Index
GPTW/B3 Index (IGPTW B3)
Inclusion and Diversity Index (I&D Index) – To be launched until 2024
Besides the indices, there’s a couple of sustainability-related Exchange Traded Funds (ETFs) listed at B3, such as ETF ISE B3 (ISUS11), ETF ICO2 B3 (ECOO11), ETF IGCT B3 (GOVE11) and ETF S&P/B3 Brazil ESG (ESGB11)","Yes


Green, Social and Sustainability Bonds (ESG Thematic Bonds)","Yes


BOVESPA MAIS, since 2005",No,"B3´s ambition is to connect sustainability with the business, leveraging the company´s strategic objectives, and promoting a resilient business environment aligned with the best ESG practices. For B3, sustainability is an essential market practice, which generates long-term value for its stakeholders. As an organization that is at the center of the financial and capital markets, B3 has the role of inducing the best ESG (Environmental, Social and Governance) practices among its stakeholders, offering products and services that support the clients in the transition to a resilient, low-carbon economy and, at the same time, conduct its own activities through responsible internal management. To reinforce this commitment, B3´s Sustainability Strategy, approved by Executive Board, is based on 3 pillars:

To be a company aligned with the sustainability best practices
Induce ESG best practices in the Brazilian market
Strengthen the product portfolio and develop new ESG market fronts

Considering the importance of the ESG agenda, B3 has the Social and Environmental Responsibility Policy, approved by the Board of Directors, which is  aligned with the company’s strategic principles and aims to formalize and guide actions on the subject. Regarding governance structure, the company has a Sustainability Committee, responsible for strategic guidance on B3’s sustainability issues and approval of the planning and macro initiatives related to sustainability. It is composed by the CEO, Chief Financial, Corporate and Investors Relations Officer, Chief Client and Products Officer, Managing Director of People, Marketing, Communication and Sustainability and two members from the Board of Directors. Believing in the value of partnership, B3 acts as an associate, member and/or signatory of several institutions and commitments with an ESG focus. Thus, the company seeks to monitor trends and possible regulations that may impact operations and stakeholders, and subsidies for the creation of new products and services. B3 was the first stock exchange in the world to become a signatory to the UN Global Compact, in 2005, and the first stock exchange in an emerging country to commit to the Principles for Responsible Investment (PRI), in 2010. In 2012, the company became a signatory founder of the Sustainable Stock Exchanges initiative (SSE) within the UN and, since 2014, is a member of the Sustainability Working Group of the World Federation of Exchanges (WFE). In the climate agenda, B3 is a member of the Advisory Board of the CDP Latin America. B3 also seeks to engage companies in sustainability issues and, at the same time, prepare them for this new business context, in which ESG factors are as important as economic-financial ones. As an example of the promotion of this agenda, B3 has the Corporate Sustainability Index (ISE B3), which, since 2005, aims to create an investment environment compatible with the demands for sustainable development of contemporary society and encourage ethical responsibility of corporations, among other initiatives. B3´s activities have a low environmental impact due to their nature. However, considering the company´s commitment to be aligned with the best sustainability practices and encourage other companies to do the same, B3 monitors its environmental impacts and implement management, mitigation and transparency initiatives, among which it can be highlighted the preparation of the greenhouse gas emissions inventory since 2009; being Carbon Neutral for 9 years, through the neutralization of greenhouse gas emissions; Reporting to the CDP Climate Change questionnaire since 2009; and the implementation of internal selective waste collection, eco-efficiency, and incentive to conscientious consumption programs. As a responsible company, B3 strive to attract and retain talent, promote quality of life, and develop its employees. In addition, the company encourages diversity, inclusion, gender equality and volunteering agendas. B3 is also committed to inducing social practices in its value chain and promoting private social investment through B3 Social, a non-profit association, founded in 2007, responsible for integrating and coordinating the private social investment projects. In 2021, the company contributed with approximately R$48 million to 160 civil society projects on several topics, including youth training projects, fighting the impacts of the pandemic on food, health and income fronts, and projects supported through incentive laws on the fronts of health, sport and culture. In 2021, B3 became the first stock exchange in the world to issue a Sustainability Linked Bond (SLB) in the amount of US$700 million and is now financially committed to meeting sustainability-related goals. Among the commitments foreseen in the SLB are, by 2024, the creation of a diversity index for the Brazilian market and, by 2026, increase to 35% the percentage of women in leadership positions within the Exchange. Since 2010, base year 2009, B3 has been releasing the Annual Report drawn up based on the guidelines of the Global Reporting Initiative (GRI) and, since 2020, it also started to consider indicators of the Sustainability Accounting Standards Board (SASB) and some elements of the International Integrated Reporting Council (IIRC). The Annual Report, which is audited by a third party, and which covers the most relevant UN Sustainable Development Goals (SDGs) for the company´s business, aims to disclose, in a transparent manner, economic, environmental, social, and corporate governance information related to the strategy, business and performance of B3.",Listed company for profit; demutualized in 2007,"Central Bank
CVM (Securities and Exchange Commission of Brazil)","Limited Exchange Self-Regulatory Organization (SRO) Model

B3’s organization and operations are subject to direct oversight from the CVM. B3 is a market operator and operator of clearing houses that, in such capacity, acts as a self-regulatory and market surveillance organization, responsible for monitoring and overseeing market participants and the transactions carried out on its markets. The self-regulatory and market surveillance arm is B3 Market Surveillance (BSM), which maintains close relationships with the regulators, in particular the Central Bank of Brazil and the CVM. It is also responsible for keeping the CVM abreast of market developments and providing the market regulator with periodic reports of its market surveillance operations. Activities involving clearing and settlement services, which are provided through B3´s four clearing facilities, are subject to the regulatory and oversight authority of both the CVM and the Central Bank.","Location: São Paulo, Brazil.

B3 provides market infrastructure, with products and services that connect, enable and develop the capital and financial markets. The company operates as a stock, commodities and futures exchange, has a private securities clearinghouse, and is also a fixed income and equities depository.
B3 activities, therefore, encompass securities trading, post-trading, clearing, settlement, depository and registration, being managed by a structured and strict combination of standards and rules. The company also has robust risk management and governance, which guarantees solidity, agility and credibility to the services it provides to customers, including banks, brokerage houses, companies, asset managers, high frequency traders, individual investors and pension funds, among others.
B3 is a publicly-held company with more than 98% of its shares traded in its own exchange environment’s Novo Mercado listing segment, in which companies commit to Corporate Governance best practices.
B3 is headquartered in São Paulo, with offices in Rio de Janeiro (RJ) and Alphaville (SP). Overseas, the exchange has offices in London (UK), Shanghai (China) and Chicago (United States) dedicated to assisting customers with activities in these markets and disclosing products and services to potential investors. B3 also has stakes in stock exchanges in Chile, Colombia and Peru.",,,,,,,,
Canada,TMX Group Inc.,https://sseinitiative.org/stock-exchange/tmx/,2020*,A Primer for Environmental & Social Disclosure,⬤,⬤,⬤,,,⬤,TMX Group Inc. (Toronto Stock Exchange),Canada,3504,"3,264,137.36 million US$",Yes,"Yes


TMX Group introduced the TMX Group Environmental, Social and Governance Report in May/2020","No


However, if any environmental or social information is deemed ‘material’, it must be immediately disclosed by a news release as required by the Exchanges’ Timely Disclosure Policies. In addition, securities rules require issuers to disclose all material information including material environmental and social issues. (Source).
Canadian Environmental Protection Act (1999) requires companies to provide information on specific pollutant emissions for inclusion in the National Pollutant Release Inventory. The act was expanded five years later to include the GHG Emissions Reporting Program, which requires Canadian Large Emitters to report GHG emissions.  Banks and other financial institutions with equity of CDN$1 billion or more are also required (Ban Act, 1991) to publish an annual statement describing their contributions to the Canadian economy and society. (Source).
The Canadian Securities Administrators requires mining companies to report on reasonably available information on environmental, permitting, and social or community factors as it relates to mineral exploration, development, and production activities on a mineral property that is material to the issuer. TSX includes a reference to this in its listing standards for mineral exploration and development stage mining companies. (Source, Source).","Yes


A Primer for Environmental & Social Disclosure, 2020 (First edition in March 2014)
TMX entered into a strategic alliance with IHS Markit to endorse their ESG Reporting Repository (the “Repository”). The Repository facilitates the disclosure of issuer ESG information into a variety of frameworks and standards, such as SASB and TCFD, and has extensive distribution channels to disseminate the information to global investors and stakeholders.
Related information:
In 2010, the Canadian Securities Administrators issued CSA Staff Notice 51-333 Environmental Reporting Guidance to help issuers understand reporting requirements for environmental issues. It identifies where requirements exist, explores the concept of materiality and provides specific disclosure examples. While the notice did not specifically address social information, it has been noted that social issues are included since the Annual Information Form and Management’s Discussion and Analysis cover all material issues. (Source)","Yes


Inside the Learning Academy platform, TMX offers training and content related to ESG.
The webpage ESG 101 shows training designed to offer support for navigating ESG reporting, ratings, and data collection.

In 2022, TMX provided training on Climate-related Financial Disclosures (TCFD recommendations) in collaboration with the SSE, CDP and IFC. (source)","Yes


S&P/TSX 60 ESG
S&P/TSX 60 Fossil Fuel Free Carbon Efficient Index
S&P/TSX 60 Fossil Fuel Free Index
S&P/TSX Renewable Energy and Clean Technology Index
S&P Canada LargeMidCap ESG","Yes


The TSX Sustainable Bonds initiative enables investors to access information and transact sustainable bonds with the same ease and transparency that with listed equities. Regulatory approval was received in November 2020, and Sustainable Bonds is available for trading on TSX since March 1, 2021.","Yes


TSX Venture Exchange, since 1999","No


Several provinces have a “comply or explain” rule regarding women’s consideration for top management positions in listed companies with self-determined quotas. In 2017 the province of Ontario set a goal of 30% women on board to be reached within three or five years by listed companies. More details here.","TMX Group has strategically targeted growth- oriented Clean Technology and Renewable Energy companies seeking a market to access North American and global capital. As of March 2018, TSX and TSX Venture Exchange were home to 90 of these companies with a total market cap of over C$40 billion. Source: TSX/TSXV Market Intelligence Group. (Source).
TMX Group is a member of the following organizations:
UN Sustainable Stock Exchange
World Federation of Exchanges Sustainability Working Group
Responsible Investment Association of Canada",Listed company for profit; demutualized in 2000,"Ontario Securities Commission – Ontario
Investment Industry Regulatory Organization of Canada (IIROC) – Ontario
Autorité des marchés financiers – Quebec","Independent Member Self-Regulatory Organization (SRO) Model

The two major exchanges that the TMX Group operates are the TSX and the Montreal Exchange. Under Ontario securities rules, the Ontario Securities Commission gives oversight to all financial markets in the province. The TSX has self-regulatory abilities but delegates market surveillance and enforcement to the Investment Industry Regulatory Organization of Canada (IIROC); an independent organization. The TSX only has listing regulatory authority as a result of the delegated powers. This would warrant a ‘Independent Member SRO Model’ classification. The Montreal Exchange operates in Quebec, which is regulated by the Autorité des Marchés Financiers (AMF), an independent but government owned organization. The AMF assists the Montreal Exchange in developing rules and regulations and gives general oversight to the markets but the majority of the regulatory authority lies with the Montreal Exchange itself, making it a Strong Exchange SRO Model.","Location: Toronto, Canada

TMX Group’s businesses operate cash and derivative markets for multiple asset classes including equities, fixed income and energy. They also provide clearing facilities, data products and other services to the international financial community. (Source).",,,,,,,,
Chile,Bolsa de Comercio de Santiago,https://sseinitiative.org/stock-exchange/bolsa-santiago/,2021*,Guía De Reporte De Sostenibilidad (in Spanish),⬤,⬤,⬤,⬤,⬤,⬤,Bolsa de Santiago,Chile,295,"179,335 million US$",Yes,"Yes



The sustainability report is integrated into the annual report.

2021
2020
2019
2018
2017",No,"Yes


Guide on Sustainability Disclosure 2021 in Spanish (Guía De Reporte Y Divulgación De Sostenibilidad Para Emisores En Chile – 2021)
Provides guidance for issuers on the Design and Construction of Sustainability. Guide in Spanish and English.
Guide on Responsible Investment (2017)","Yes


Offered a training workshop in April 2018 on green bonds. (Source).
Provided training on Climate-related Financial Disclosures (TCFD recommendations) in collaboration with the SSE, CDP and IFC in 2022. (source)","Yes


Dow Jones Sustainability Chile Index
List of sustainability indices","Yes


Green and Social Bond Segment Launched 10-04-2018.","Yes


Santiago SE, Venture (SSEV), since 2015",No,"Offers guidance on sustainable and responsible investment on website here.
On 18 July, at the Santiago Exchange in Chile, the leadership teams of the Santiago Exchange and the Luxembourg Stock Exchange (LuxSE) signed a Memorandum of Understanding (MoU) to facilitate cooperation in the field of cross listing and trading of financial securities in the two markets. The agreement defines green and social bonds as an area of priority, reflecting the efforts made by both exchanges to bring sustainable finance centre stage. News Release found here.",Listed company for profit.,Comisión para el Mercado Financiero (CMF).,"Limited Exchange Self-Regulatory Organization (SRO) Model

Reviewing the CMF “Response to Survey on Implementation of IOSCO Objectives and Principles of Securities Regulation” document reveals that the CMF carries out and enforces most regulations in Chile. CMF is the main regulatory authority for tasks such as listing securities and derivatives contracts, the authorization of funds and its fund managers Licensing and the issuance of securities. Therefore, the Santiago Exchange regulates its own operational activities but the CMF acts as the main authority for higher-level activity in Chile.","Location: Santiago, Chile

The first attempts to establish a stock exchange in Chile were made in 1840 with little success. In 1884, there were already 160 corporations and this forced the creation of a specialized stock market where to direct all transactions with securities. The Santiago Stock Exchange was founded on November 27th, 1893, as a major step to infuse energy and vitality into the national economy.
​Santiago Exchange has several markets, which currently trade over USD 2 billion a day in equities, fixed income securities, money market instruments, investment fund shares and foreign securities. During the last decade, the exchange has expanded and evolved into a global point of interest for investors and a strategic partner for regional stock markets.",,,,,,,,
China,Shanghai Stock Exchange,https://sseinitiative.org/stock-exchange/sse/,2008,Guidelines for Environmental Information Disclosure of Listed Companies in Shanghai Stock Exchange (in Chinese),,,,,,,Shanghai Stock Exchange,China,2184,"7,095,094.06 million US$",Yes,"Yes


2022
2021
2020
2019
2018
2017",No,No,No,"Yes


List of green indices here.","Yes


Source: SSE Green Bonds",No,No,"SSE announced the Circular on Launching Pilot Program for Green Corporate Bonds in March, 2016.
SSE is the Observer of Green Bond Principles (GBP) and is nominated Green Finance Pioneer by Climate Bonds Initiative.",Association not for profit.,China Securities Regulatory Committee (CSRC).,"Limited Exchange Self-Regulatory Organization (SRO) Model

The Shanghai Stock Exchange is able to set basic rules and regulations such as accepting new listings and market surveillance, but the China Securities Regulatory Committee holds the majority of regulatory abilities in China. Any new regulatory abilities the exchange wants to undertake must be approved by the China Securities Regulatory Committee.","Location: Shanghai, China.

The Shanghai Stock Exchange (SSE) was founded on Nov. 26th, 1990 and commenced operations on Dec. 19th of the same year. It is a membership institution directly governed by the China Securities Regulatory Commission (CSRC). The SSE bases its development on the principle of “legislation, supervision, self-regulation and standardization” to create a transparent, open, safe and efficient marketplace. The SSE endeavors to realize a variety of functions: providing marketplace and facilities for securities trading; formulating business rules; accepting and arranging listings; organizing and monitoring securities trading; regulating members and listed companies; managing and disseminating market information. (Source).",,,,,,,,
China,Shenzhen Stock Exchange,https://sseinitiative.org/stock-exchange/szse/,2006,Social Responsibility Instructions to Listed Companies,,,,,,,Shenzhen Stock Exchange,China,2578,"6,219,831.22 million US$",Yes,No,"No


For listed companies in China, only those categorized as key pollutant emission units are mandatory to disclose carbon emission information. The guidance they use is mainly released by China Securities and Regulatory Committee (CSRC) and Shenzhen Stock Exchange depending on their listing boards.","Yes


Shenzhen Stock Exchange Social Responsibility Instructions to Listed Companies
In September 2006, Shenzhen Stock Exchange (SZSE) issued the “Guidelines for Corporate Social Responsibility of Shenzhen Stock Exchange Listed Companies”. From 2009 to 2010, the three boards of SZSE successively issued the “Guidelines for the Standardised Operation of Listed Companies”, which contained two separate chapters of “Corporate Governance” and “Social Responsibility”. In 2015, SZSE further revised the “Guidelines for the Standardised Operation of Listed Companies” and issued the Memorandum of Information Disclosure for Periodic Reports. Listed companies which are included in component of the Shenzhen 100 Index shall disclose social responsibility reports in accordance with the revised guidelines.","Yes


SZSE has been offering training courses and seminars to senior management, independent directors of listed and Pre-IPO stage companies on ESG-related topics since September 2007, covering topics of socially responsible investing, compilation of corporate social responsibility report etc.
In 2022, SZSE provided training on Climate-related Financial Disclosures (TCFD recommendations) in collaboration with the SSE, CDP and IFC. (source)","Yes


SZSE Environmental Protection Index
SZSE Energy Conservation Index
CNI TEDA EP Index
CNI Low-carbon 50 Index
CCTV 50 Ecology Industry Index
CUFE-CNI High Grade Green Bond Index
CUFE-CNI High Grade Unlabeled Green Bond Index
CUFE-CNI High Grade Labeled Green Bond Total Return Index
CNI New Energy Index
CNI New Energy Vehicles Index
CUFE-CNI SZ-HK Connect Green Selection Index
CNI SZ-HK Connect Energy Conservation Index
CNI SZ-HK Connect Alternative Energy Cars Index
SZSE Corporate Social Responsibility Index
SZSE SME Corporate Social Responsibility Index
CCTV 50 Corporate Social Responsibility Index
CNI-CBN-AEGON-Industrial Corporate Social Responsibility Index
SZSE Corporate Governance Index
SZSE SME Corporate Governance Index
CNI Corporate Governance Index
CCTV 50 Corporate Governance Index
CCTV 50 Index","Yes


SZSE assigns designated labels for ESG-related bond products. For example, the green bonds will be specially labelled as “G” in the bond code – https://bond.szse.cn/","Yes


ChiNext, since 2009.",No,,Member-based stock exchange,China Securities Regulatory Commission (CSRC).,A self-regulatory legal entity under the direct administration of the CSRC.,"Location: Shenzhen, China.

Shenzhen Stock Exchange (SZSE), established on 1st December, 1990, is a self-regulated legal entity under the supervision of China Securities Regulatory Commission (CSRC). It also organizes, supervises securities trading and performs duties prescribed by laws, regulations, rules and policies. Its main functions include providing the venue and facilities for securities trading, formulating operational rules, receiving listing applications and arranging securities listing, organizing and supervising securities trading, supervising members; regulating listed companies, managing and disseminating market information and other functions as approved by the CSRC. (Source).",,,,,,,,
