Title,PDF Link
The 12th United Nations Global Compact–Accenture CEO Study,https://info.unglobalcompact.org/l/591891/ompact-Accenture-CEO-Study-pdf/58c97n
The 12th United Nations Global Compact–Accenture CEO Study,https://info.unglobalcompact.org/l/591891/n6PO-CEO-Study-Infographic-pdf/58c97r
The 12th United Nations Global Compact–Accenture CEO Study,https://info.unglobalcompact.org/l/591891/CDDZP-CEO-Study-Slideshare-pdf/58c97v
Business Dilemmas Forum: Navigating Expectations for Societal Leadership,https://ungc-communications-assets.s3.amazonaws.com/docs/publications/UNGC%20Business%20Dilemmas%20Forum%20Summary.pdf
Communication on Progress Guidebook,https://storage.pardot.com/591891/1677164626UVOSM5Bv/UNGC_CoP_GuideBook__Feb2023_.pdf
"CORPORATE CLIMATE TARGET SETTING, ACTION AND GLOBAL COLLABORATION TOWARDS A NET-ZERO FUTURE - ACCELERATE 2030 AGENDA FOR SUSTAINABLE DEVELOPMENT THROUGH GLOBAL DEVELOPMENT INITIATIVE",https://ungc-communications-assets.s3.amazonaws.com/docs/publications/CORPORATE%20CLIMATE%20TARGET%20SETTING.pdf
CoP Policy,https://ungc-communications-assets.s3.us-west-2.amazonaws.com/docs/about_the_gc/CoP-faq.pdf
CEO Statement of Continued Support,https://ungc-communications-assets.s3.amazonaws.com/docs/publications/CEO%20Statement%20of%20Continued%20Support%20%5BJan2023%5D_German.pptx.pdf
Just Transition and Renewable Energy: A Business Brief,https://info.unglobalcompact.org/l/591891/able-Energy-Business-Brief-pdf/58cd4n
Just Transition and Renewable Energy: A Business Brief,https://info.unglobalcompact.org/l/591891/justa-y-energ--a-renovable-pdf/58cd4r
CFO ACTION ON CORPORATE INVESTMENT AND FINANCE FOR SUSTAINABLE DEVELOPMENT,https://ungc-communications-assets.s3.amazonaws.com/docs/publications/FINAL_CFO%20Action.pdf
Just Transition in Supply Chains: A Business Brief,https://info.unglobalcompact.org/l/591891/pply-Chains-Business-Brief-pdf/58ckh5
Just Transition in Supply Chains: A Business Brief,https://info.unglobalcompact.org/l/591891/-in-Supply-Chains-FINAL-ES-pdf/58ckh8
Forward Faster Action Guides,https://ungc-communications-assets.s3.amazonaws.com/docs/publications/Arabic-Forward%20Faster%20FAQ%202023.pdf
CEO Water Mandate: 2022 Impact Report,https://ceowatermandate.org/wp-content/uploads/2023/07/CEO-Water-Mandate-2022-Impact-Report.pdf
Water Resilience Coalition: 2022 Impact Report,https://ceowatermandate.org/resilience/wp-content/uploads/sites/37/2023/07/WRC-Impact-Report-2022.pdf
"Business Leadership in Times of Crisis: Collected Insights from Chief Executive Officers into Successes, Challenges and Areas for Future Focus",https://ungc-communications-assets.s3.amazonaws.com/docs/publications/Business%20Leadership%20in%20Times%20of%20Crisis_Low-Res.pdf
Global Seaweed Coalition Annual Report,https://ungc-communications-assets.s3.amazonaws.com/docs/publications/Seaweed%20Report%20Design%20Project%20Final.pdf
United Nations Global Compact-Accenture Global Private Sector SDG Stocktake,https://info.unglobalcompact.org/l/591891/-SDG-Stocktake-Report-2023-pdf/58cmjy
